ID;Humidity;Temperature1;Temperature2;Lux;UV;Pressure;Lat;Lon;Altitude;Speed;p25;p10
41;48.27;15.09;16.28;117;5;96028.33;8.506672514;47.40802948;515.4;1.24;15.8;17.7
42;49.01;14.81;16.02;68;0;96025.69;8.506743919;47.40805107;515.4;1.24;16;17.9
43;49.64;14.57;15.78;57;0;96024.75;8.506815324;47.40807266;515.4;1.24;16.4;18.2
44;50.37;14.35;15.54;72;0;96027.72;8.506886728;47.40809425;515.4;1.24;16.5;18.3
45;51.11;14.09;15.32;105;5;96031.46;8.506958133;47.40811585;515.4;1.24;16.5;18.3
46;51.84;13.89;15.09;119;5;96032;8.507029538;47.40813744;515.4;1.24;17.2;19.1
47;52.48;13.66;14.9;105;5;96027.62;8.507100943;47.40815903;515.4;1.24;17.8;19.8
48;53.11;13.51;14.73;93;5;96032.15;8.507172349;47.40818062;515.4;1.24;18;20
49;53.55;13.33;14.6;81;0;96035.23;8.507243754;47.40820221;515.4;1.24;18.2;20.2
50;54.16;13.19;14.47;46;0;96031.28;8.507315159;47.40822381;515.4;1.24;19;21.1
51;54.9;13.07;14.36;75;5;96036.04;8.507386564;47.4082454;515.4;1.24;19.4;21.5
52;55.41;12.92;14.22;89;0;96038.28;8.50745797;47.40826699;515.4;1.24;19.4;21.5
53;55.94;12.78;14.09;84;0;96035.05;8.507529375;47.40828858;515.4;1.24;20.1;22.4
54;56.48;12.65;13.96;85;0;96036.36;8.507600781;47.40831017;515.4;1.24;20.5;22.8
55;56.99;12.52;13.84;63;0;96033.84;8.507672186;47.40833177;515.4;1.24;20.5;22.9
56;57.52;12.39;13.74;18;0;96039.02;8.507728713;47.40834886;515.4;1.24;20.3;22.7
57;58.03;12.28;13.62;15;0;96033.35;8.507763757;47.40839629;515.4;1.24;20.2;24
58;58.67;12.13;13.51;22;0;96033.28;8.507798801;47.40844373;515.4;1.24;20.3;24.3
59;59.08;12.02;13.42;66;0;96040.92;8.507833845;47.40849116;515.4;1.24;20.3;25.2
60;59.62;11.91;13.32;89;5;96041.32;8.50786889;47.40853859;515.4;1.24;20.4;25.7
61;60.03;11.79;13.22;97;5;96038.05;8.507903934;47.40858603;515.4;1.24;20.6;25.7
62;60.57;11.73;13.13;93;5;96036.12;8.507938979;47.40863346;515.4;1.24;20.5;25.4
63;61.08;11.61;13.04;97;5;96047.72;8.507974023;47.4086809;515.4;1.24;20.6;24.8
64;61.51;11.52;12.94;87;5;96043.44;8.508009068;47.40872833;515.4;1.24;20.6;24.4
65;61.92;11.43;12.85;90;5;96044.92;8.508044113;47.40877576;515.4;1.24;20.9;24
66;62.43;11.37;12.79;85;5;96043.23;8.508079158;47.4088232;515.4;1.24;21;23.5
67;62.87;11.32;12.72;107;5;96046.99;8.508114202;47.40887063;515.4;1.24;21.1;23.6
68;63.18;11.24;12.66;116;5;96047.37;8.508149247;47.40891807;515.4;1.24;21.1;23.7
69;63.48;11.19;12.59;93;5;96047.91;8.508184292;47.4089655;515.4;1.24;21;23.4
70;63.89;11.11;12.53;94;5;96045.56;8.508219337;47.40901293;515.4;1.24;21.1;23.5
71;64.23;11.04;12.44;100;5;96045.62;8.508254382;47.40906037;515.4;1.24;21.2;23.6
72;64.64;10.96;12.36;92;5;96045.53;8.508268048;47.40907886;515.4;1.24;21.2;23.6
73;64.95;10.89;12.29;80;5;96047.22;8.508301416;47.40912685;515.4;1.24;21.3;23.8
74;65.28;10.84;12.23;95;5;96046.09;8.508334784;47.40917484;515.4;1.24;21.6;24.2
75;65.49;10.78;12.17;99;5;96047.34;8.508368153;47.40922283;515.4;1.24;21.7;24.3
76;65.8;10.71;12.13;91;5;96048.55;8.508401521;47.40927082;515.4;1.24;22.1;24.8
77;66;10.66;12.09;95;5;96050.86;8.50843489;47.4093188;515.4;1.24;22.1;24.7
78;66.34;10.6;12.02;98;5;96057.16;8.508468258;47.40936679;515.4;1.24;22;24.6
79;66.54;10.52;11.95;100;5;96055.63;8.508501627;47.40941478;515.4;1.24;21.8;24.4
80;66.85;10.44;11.9;108;5;96058.67;8.508534995;47.40946277;515.4;1.24;21.9;24.6
81;67.19;10.36;11.83;96;5;96056.16;8.508568364;47.40951075;515.4;1.24;22;24.7
82;67.49;10.29;11.77;97;5;96056.41;8.508601733;47.40955874;515.4;1.24;22.1;24.8
83;67.8;10.25;11.69;87;5;96051.02;8.508635102;47.40960673;515.4;1.24;22.1;24.8
84;68.04;10.2;11.64;104;5;96053.64;8.50866847;47.40965472;515.4;1.24;21.4;24
85;68.35;10.15;11.6;79;0;96054.45;8.508701839;47.40970271;515.4;1.24;20.9;23.6
86;68.55;10.11;11.54;82;5;96058.74;8.508735208;47.40975069;515.4;1.24;20.6;23.2
87;68.76;10.07;11.51;82;0;96059.18;8.508768577;47.40979868;515.4;1.24;21;23.6
88;68.96;10.04;11.45;74;0;96056.38;8.508801946;47.40984667;515.4;1.24;21.4;24.5
89;69.17;9.99;11.39;71;0;96053.81;8.508835316;47.40989466;515.4;1.24;21.1;24.7
