"Series;""Time"";""Value""",
"PM10;""2018-11-29T14:15:00+01:00"";46",708
"PM10;""2018-11-29T14:30:00+01:00"";46",908
"PM10;""2018-11-29T14:45:00+01:00"";47",133
"PM10;""2018-11-29T15:00:00+01:00"";47",347
"PM10;""2018-11-29T15:15:00+01:00"";47",607
"PM10;""2018-11-29T15:30:00+01:00"";47",817
"PM10;""2018-11-29T15:45:00+01:00"";47",997
"PM10;""2018-11-29T16:00:00+01:00"";48",108
"PM10;""2018-11-29T16:15:00+01:00"";48",333
"PM10;""2018-11-29T16:30:00+01:00"";48",703
"PM10;""2018-11-29T16:45:00+01:00"";49",49
"PM10;""2018-11-29T17:00:00+01:00"";49",285
"PM10;""2018-11-29T17:15:00+01:00"";49",457
"PM10;""2018-11-29T17:30:00+01:00"";49",593
"PM10;""2018-11-29T17:45:00+01:00"";49",694
"PM10;""2018-11-29T18:00:00+01:00"";49",781
"PM10;""2018-11-29T18:15:00+01:00"";49",857
"PM10;""2018-11-29T18:30:00+01:00"";49",932
"PM10;""2018-11-29T18:45:00+01:00"";50",
"PM10;""2018-11-29T19:00:00+01:00"";50",9
"PM10;""2018-11-29T19:15:00+01:00"";50",203
"PM10;""2018-11-29T19:30:00+01:00"";50",332
"PM10;""2018-11-29T19:45:00+01:00"";50",414
"PM10;""2018-11-29T20:00:00+01:00"";50",521
"PM10;""2018-11-29T20:15:00+01:00"";50",666
"PM10;""2018-11-29T20:30:00+01:00"";50",754
"PM10;""2018-11-29T20:45:00+01:00"";50",85
"PM10;""2018-11-29T21:00:00+01:00"";51",15
"PM10;""2018-11-29T21:15:00+01:00"";51",128
"PM10;""2018-11-29T21:30:00+01:00"";51",282
"PM10;""2018-11-29T21:45:00+01:00"";51",508
"PM10;""2018-11-29T22:00:00+01:00"";51",66
"PM10;""2018-11-29T22:15:00+01:00"";51",848
"PM10;""2018-11-29T22:30:00+01:00"";52",124
"PM10;""2018-11-29T22:45:00+01:00"";52",383
"PM10;""2018-11-29T23:00:00+01:00"";52",621
"PM10;""2018-11-29T23:15:00+01:00"";52",814
"PM10;""2018-11-29T23:30:00+01:00"";52",925
"PM10;""2018-11-29T23:45:00+01:00"";53",36
"PM10;""2018-11-30T00:00:00+01:00"";53",77
"PM10;""2018-11-30T00:15:00+01:00"";53",147
"PM10;""2018-11-30T00:30:00+01:00"";53",193
"PM10;""2018-11-30T00:45:00+01:00"";53",167
"PM10;""2018-11-30T01:00:00+01:00"";53",183
"PM10;""2018-11-30T01:15:00+01:00"";53",262
"PM10;""2018-11-30T01:30:00+01:00"";53",365
"PM10;""2018-11-30T01:45:00+01:00"";53",483
"PM10;""2018-11-30T02:00:00+01:00"";53",541
"PM10;""2018-11-30T02:15:00+01:00"";53",65
"PM10;""2018-11-30T02:30:00+01:00"";53",722
"PM10;""2018-11-30T02:45:00+01:00"";53",823
"PM10;""2018-11-30T03:00:00+01:00"";54",57
"PM10;""2018-11-30T03:15:00+01:00"";55",505
"PM10;""2018-11-30T03:30:00+01:00"";56",669
"PM10;""2018-11-30T03:45:00+01:00"";56",797
"PM10;""2018-11-30T04:00:00+01:00"";56",861
"PM10;""2018-11-30T04:15:00+01:00"";56",904
"PM10;""2018-11-30T04:30:00+01:00"";56",923
"PM10;""2018-11-30T04:45:00+01:00"";57",46
"PM10;""2018-11-30T05:00:00+01:00"";57",101
"PM10;""2018-11-30T05:15:00+01:00"";57",89
"PM10;""2018-11-30T05:30:00+01:00"";57",6
"PM10;""2018-11-30T05:45:00+01:00"";56",817
"PM10;""2018-11-30T06:00:00+01:00"";56",559
"PM10;""2018-11-30T06:15:00+01:00"";56",188
"PM10;""2018-11-30T06:30:00+01:00"";55",945
"PM10;""2018-11-30T06:45:00+01:00"";55",747
"PM10;""2018-11-30T07:00:00+01:00"";55",37
"PM10;""2018-11-30T07:15:00+01:00"";54",662
"PM10;""2018-11-30T07:30:00+01:00"";54",275
"PM10;""2018-11-30T07:45:00+01:00"";53",54
