ID;Humidity;Temperature1;Temperature2;Lux;UV;Pressure;Lat;Lon;Altitude;Speed;p25;p10
0;43.67;22.31;22.96;1413;118;96654.33;0;0;0;0;0;0
1;42.97;22.2;22.98;2834;101;96645.34;0;0;0;0;1.6;1.7
2;43.09;22.09;22.92;4210;230;96643.95;0;0;0;0;1.5;1.5
3;42.9;21.99;22.77;5091;298;96632.23;0;0;0;0;1.4;1.4
4;42.52;21.88;22.67;3860;241;96626.97;0;0;0;0;1.6;1.7
5;42.02;21.75;22.52;4690;376;96615.8;0;0;0;0;1.7;1.8
6;42.03;21.65;22.45;8594;601;96617;0;0;0;0;1.6;1.7
7;42.33;21.54;22.37;9953;607;96616.03;0;0;0;0;1.5;1.6
8;42.43;21.47;22.29;7923;601;96608.9;0;0;0;0;1.6;1.7
9;42.96;21.38;22.23;10400;596;96601.33;0;0;0;0;1.6;1.7
10;43.35;21.31;22.16;9315;579;96595.56;0;0;0;0;1.6;1.7
11;43.16;21.25;22.08;11208;646;96595.27;0;0;0;0;1.6;1.7
12;42.88;21.17;21.95;10431;641;96593.78;0;0;0;0;1.6;1.7
13;42.68;21.07;21.83;10286;630;96597.91;0;0;0;0;1.6;1.7
14;42.57;20.97;21.67;10790;573;96592.62;0;0;0;0;1.5;1.6
15;42.4;20.87;21.54;9837;590;96589.39;0;0;0;0;1.5;2
16;42.4;20.77;21.44;10362;607;96591.19;0;0;0;0;1.6;2.1
17;42.82;20.67;21.36;10037;601;96591.73;0;0;0;0;1.5;2.1
18;43.62;20.59;21.3;10003;601;96594.33;0;0;0;0;1.5;2
19;43.82;20.52;21.23;9905;590;96591.06;0;0;0;0;1.6;2
20;43.84;20.47;21.14;10083;596;96589.12;0;0;0;0;1.6;2
21;43.94;20.35;21.05;10834;562;96587.23;0;0;0;0;1.6;1.8
22;43.94;20.24;20.95;10621;630;96592.37;0;0;0;0;1.5;1.8
23;43.96;20.16;20.86;10767;630;96588.67;0;0;0;0;1.6;1.7
24;44.06;20.06;20.74;10878;641;96588.25;0;0;0;0;1.4;1.4
25;44.28;19.98;20.59;10627;618;96586.28;0;0;0;0;1.4;1.4
26;44.38;19.86;20.45;10727;624;96585.95;0;0;0;0;1.4;1.4
27;44.4;19.74;20.29;10499;613;96589.13;0;0;0;0;1.5;1.6
28;44.71;19.63;20.16;10389;607;96590.72;0;0;0;0;1.4;1.5
29;44.83;19.5;20.01;10235;607;96586.12;0;0;0;0;1.4;1.5
30;44.93;19.41;19.85;9958;607;96585.77;0;0;0;0;1.5;1.6
31;45.15;19.29;19.72;9939;601;96589.85;0;0;0;0;1.5;1.6
32;45.55;19.21;19.62;10010;590;96585.73;0;0;0;0;1.5;1.6
33;46.06;19.1;19.55;10019;596;96584.27;0;0;0;0;1.6;1.7
34;46.48;19.02;19.5;10114;590;96583.44;0;0;0;0;1.6;1.7
35;46.78;18.95;19.44;10533;585;96587.08;0;0;0;0;1.6;1.7
36;47.08;18.9;19.37;10349;585;96586.94;0;0;0;0;1.5;1.6
37;47.31;18.82;19.27;7173;421;96586.81;0;0;0;0;1.6;2.2
38;47.31;18.75;19.17;9517;585;96586.65;0;0;0;0;1.6;3
39;47.81;18.67;19.09;9621;573;96587.5;0;0;0;0;1.5;3
40;48.14;18.62;19.04;9385;568;96587.5;0;0;0;0;1.5;3.3
41;48.34;18.54;18.97;9580;568;96584.85;0;0;0;0;1.5;3.3
42;48.14;18.45;18.86;9499;562;96586.67;0;0;0;0;1.5;3.2
43;47.96;18.33;18.72;9478;562;96582.23;47.41766;8.502889;0;2.48;1.5;3
44;47.75;18.23;18.58;9812;573;96586.21;47.417652;8.502867;500.2;0.7;1.5;3
45;47.67;18.08;18.46;9464;551;96589.53;47.417645;8.502852;502.1;0.8;1.5;2.9
46;47.9;17.92;18.28;9125;545;96578.82;47.417633;8.502842;503.5;1.61;1.4;2.7
47;48;17.74;18.07;8532;534;96573.13;47.417637;8.502855;502.8;2.04;1.5;2.2
48;48.13;17.55;17.88;9064;540;96580.08;47.417641;8.502853;501.2;0.65;1.5;1.6
49;48.25;17.37;17.73;9850;517;96575.55;47.41766;8.502885;499.2;0.35;1.6;1.7
50;48.58;17.23;17.61;8980;523;96571.34;47.417679;8.502919;495.8;1.41;1.4;1.4
51;49.18;17.11;17.48;8702;511;96569.32;47.417698;8.502953;490.8;1.19;1.5;1.6
52;49.51;16.97;17.35;8268;517;96569.7;47.417702;8.502955;489.4;2.56;1.6;1.7
53;49.81;16.88;17.25;8533;511;96569.95;47.417702;8.502944;486.8;1.28;1.8;1.9
54;50.04;16.76;17.14;8828;517;96569.44;47.417702;8.502932;486.6;1.46;1.8;2
55;50.54;16.67;17.05;9178;523;96570.36;47.417709;8.502928;485.3;0.65;1.9;2.5
56;51.05;16.57;16.98;8689;517;96576.2;47.417709;8.502923;484.3;0.74;1.9;2.3
57;51.48;16.48;16.92;8365;511;96577.41;47.417709;8.502914;483.8;1.35;1.8;2.5
58;51.98;16.42;16.81;8733;506;96571.06;47.417713;8.502919;482.9;0.28;1.8;2.5
59;52.61;16.28;16.7;8672;517;96564.85;47.417713;8.502933;482.9;1.13;1.9;2.7
60;53.12;16.12;16.57;8195;489;96566.28;47.417713;8.502945;483.6;0.83;1.8;2.5
61;53.65;16.02;16.44;8277;478;96558.73;47.417706;8.502929;484.1;2.24;1.8;2.4
62;54.16;15.93;16.34;8063;461;96556.83;47.417671;8.502945;484.1;4.7;1.6;2.6
63;54.69;15.8;16.21;7801;438;96551.91;47.417637;8.502986;484.1;6.15;1.6;2.3
64;55.19;15.65;16.07;6366;371;96548.02;47.417595;8.502986;484.1;4.61;1.5;2.3
65;55.73;15.51;15.93;7928;455;96541.88;47.417553;8.503034;484.1;4.69;1.5;1.8
66;56.26;15.36;15.82;5906;360;96537.17;47.417526;8.503058;484.1;4.54;1.5;1.6
67;56.46;15.27;15.75;5414;348;96535.44;47.417496;8.50309;484.1;4.7;1.5;2.1
68;56.49;15.17;15.68;5854;337;96529.65;47.41748;8.503112;484.1;3.63;1.5;1.9
69;56.49;15.07;15.61;5175;309;96524.16;47.417458;8.50314;484.3;4.24;1.5;1.8
70;56.7;14.99;15.5;4823;286;96522.31;47.417423;8.503171;484.3;4.8;1.5;1.8
71;57.12;14.89;15.39;4580;275;96512.78;47.417389;8.503202;484.3;5.52;1.6;1.7
72;57.53;14.77;15.26;4199;236;96512.25;47.417355;8.503251;484.3;5.11;1.6;1.7
73;57.66;14.64;15.11;4123;281;96505.75;47.417328;8.503284;484.3;3.39;1.6;1.7
74;57.86;14.5;14.98;5762;343;96499.74;47.41729;8.503288;484.3;4.35;1.6;1.7
75;58.2;14.37;14.85;6133;360;96489.83;47.417252;8.503293;486.4;4.78;1.6;1.7
76;58.63;14.25;14.76;5884;365;96487.29;47.417217;8.503309;486.4;4.11;1.6;1.7
77;59.03;14.15;14.66;6047;365;96471.44;47.417187;8.503338;486.4;4.96;1.7;1.8
78;59.64;14.07;14.57;6547;376;96472.75;47.417152;8.50336;486.4;4.41;1.7;1.8
79;60.18;13.97;14.46;5771;382;96467.02;47.417107;8.503378;486.4;5.22;1.7;1.8
80;60.69;13.87;14.35;6143;371;96462.49;47.417076;8.503386;486.4;4.37;1.7;1.8
81;61.13;13.77;14.26;5864;337;96454.73;47.417049;8.503409;486.4;5.63;1.7;1.8
82;61.63;13.66;14.17;5584;298;96448.12;47.417;8.503434;486.4;5.56;1.7;1.8
83;62.27;13.57;14.1;4751;275;96443.58;47.416965;8.503432;486.4;4.96;1.7;1.8
84;63.09;13.46;14.03;3879;253;96435.95;47.416943;8.503401;486.4;4.98;1.7;1.8
85;63.39;13.39;13.96;4037;253;96429.29;47.416904;8.503391;486.4;2.78;1.7;1.8
86;63.62;13.28;13.89;3709;208;96426.02;47.416866;8.503366;486.4;4.7;1.7;1.8
87;63.83;13.19;13.83;3038;180;96422.58;47.416843;8.503345;486.4;4.17;1.7;1.8
88;64.06;13.11;13.76;2780;163;96413.84;47.416798;8.503329;492.2;4.8;1.7;1.8
89;64.47;13.03;13.7;2244;140;96409.17;47.416759;8.503293;492.2;4.83;1.8;2
90;64.98;12.95;13.63;1817;118;96400.84;47.416721;8.503261;492.2;5.13;1.9;2.1
91;65.42;12.89;13.58;1944;135;96399.62;47.416687;8.503225;492.2;5.2;1.8;2
92;65.83;12.82;13.54;2771;157;96390.67;47.416645;8.503175;492.2;5.56;1.8;2
93;66.23;12.75;13.5;2684;151;96393.96;47.416618;8.503143;492.2;2.98;1.8;1.9
94;66.54;12.7;13.45;2864;185;96390.83;47.416588;8.503118;495.9;4.96;1.8;1.9
95;66.77;12.65;13.42;3539;213;96391.12;47.416553;8.503085;495.9;5.52;1.8;1.9
96;66.97;12.6;13.38;3742;219;96392.12;47.416519;8.503035;495.7;5.48;1.8;1.9
97;67.38;12.56;13.36;3630;185;96388.02;47.416489;8.502993;495.7;5.93;1.7;1.8
98;68.1;12.5;13.34;2562;151;96383.31;47.416462;8.502965;495.7;4.11;1.7;1.8
99;68.84;12.46;13.32;2759;163;96384.86;47.416443;8.502934;495.7;4.15;1.7;1.8
100;69.35;12.42;13.3;3109;163;96383.89;47.416416;8.502892;495.7;4.87;1.7;1.8
101;69.96;12.38;13.27;2395;157;96382.28;47.416382;8.502858;495.7;4.54;1.7;1.8
102;70.57;12.35;13.26;2082;140;96387.36;47.41634;8.50276;496.7;8.54;1.8;1.9
103;71.09;12.31;13.23;2179;135;96379.03;47.416332;8.502739;497.2;6.35;1.8;1.9
104;71.7;12.28;13.22;2466;135;96386.32;47.416302;8.502717;497.2;4.48;2;2.1
105;72.31;12.23;13.18;3080;140;96383.83;47.416294;8.502716;497.2;2.17;2;2.2
106;72.86;12.2;13.15;2321;168;96377.43;47.416237;8.502674;497.2;4.85;2.1;2.2
107;73.36;12.16;13.12;3241;151;96372.38;47.416195;8.502691;497.2;5.72;2.2;2.4
108;73.88;12.13;13.1;2902;174;96373.14;47.416153;8.50268;497.2;4.63;2.2;2.4
109;74.29;12.1;13.08;2246;168;96372.51;47.416103;8.502656;497.2;5.3;2.2;2.4
110;74.59;12.07;13.06;2061;168;96372.73;47.416046;8.502645;497.2;5.96;2.4;2.6
111;74.69;12.04;13.02;2512;151;96374.66;47.416008;8.502629;497.2;5.33;2.3;2.5
112;74.79;12.01;13;1880;140;96380.91;47.415977;8.502628;497.2;3.98;2.3;2.9
113;74.93;11.98;12.99;3240;185;96383.48;47.415905;8.502589;497.2;4.98;2.2;2.6
114;75.13;11.94;12.95;2248;174;96384.27;47.415867;8.502561;503.5;5.65;2.1;2.5
115;75.34;11.9;12.93;3014;191;96385.16;47.415825;8.502518;505.1;6.11;2.1;2.5
116;75.34;11.83;12.88;3212;180;96384.36;47.415787;8.502473;505.1;6.37;2;2.4
117;75.17;11.76;12.82;2943;191;96385.34;47.415726;8.502437;505.1;7.83;2;2.3
118;75.07;11.72;12.78;2238;129;96387.98;47.415676;8.50239;505.1;7.02;2;2.2
119;75.17;11.67;12.73;2414;163;96383.75;47.41563;8.502364;505.1;5.61;1.9;2.3
120;75.37;11.64;12.7;2873;146;96384.7;47.415585;8.502331;505.1;6.7;1.9;2.2
121;75.78;11.61;12.67;2931;151;96387.12;47.415565;8.502325;505.1;4.33;1.9;2.4
122;76.09;11.57;12.63;2751;157;96387.69;47.41552;8.502299;505.1;5.28;2;2.2
123;76.43;11.52;12.57;2288;151;96390.16;47.415478;8.50229;510.7;5.37;2;2.2
124;76.84;11.46;12.54;2996;168;96392.08;47.415459;8.502291;511.7;5.74;2;2.2
125;77.04;11.43;12.48;2868;163;96386.73;47.415417;8.502289;511.3;5;2.1;2.3
126;77.15;11.37;12.43;2635;168;96387.2;47.415398;8.502283;511.3;3.89;2;2.2
127;77.35;11.36;12.38;2511;151;96381.26;47.415329;8.502265;511.3;6.7;2;2.2
128;77.49;11.29;12.33;2562;157;96377.58;47.415302;8.502248;511.3;5.15;2;2.1
129;77.59;11.25;12.28;2786;157;96378.65;47.415264;8.502233;511.3;5.11;1.9;2
130;77.7;11.21;12.24;2437;146;96384.62;47.415184;8.502218;511.3;6.69;1.9;2
131;77.59;11.18;12.22;2674;135;96386.73;47.415154;8.502178;511.3;4.67;1.8;1.9
132;77.19;11.14;12.19;2596;140;96382.97;47.415112;8.502172;511.3;3.7;1.8;1.9
133;76.91;11.1;12.16;2864;157;96386.12;47.415058;8.502143;511.3;5.33;1.8;1.9
134;76.81;11.09;12.14;2307;140;96392.58;47.41502;8.502125;511.3;4.82;1.9;2
135;76.61;11.06;12.12;2311;146;96390.48;47.414955;8.502139;506.3;4.96;1.8;2
136;76.61;11.04;12.11;2248;146;96400.3;47.414909;8.502131;506.3;4.89;1.9;2.1
137;76.91;11.02;12.09;2465;168;96401.47;47.414867;8.502118;506.3;4.33;1.9;2.1
138;77.12;11.02;12.07;2403;157;96404.71;47.414806;8.502083;506.3;5.39;1.9;2.1
139;77.42;10.99;12.05;2752;146;96407.14;47.414757;8.502065;507.2;5.85;2;2.5
140;77.63;10.97;12.03;2110;112;96407.16;47.4147;8.502074;507.2;6.15;2;2.6
141;77.73;10.96;12.01;2863;140;96406.09;47.41465;8.502073;507.2;6.72;2;2.5
142;77.73;10.94;11.97;2594;157;96400.88;47.414604;8.502054;505.7;5.65;2;2.2
143;77.83;10.92;11.97;2816;151;96405;47.414574;8.502034;504.2;5.37;2;2.2
144;77.94;10.92;11.95;3153;146;96408.8;47.414528;8.502041;502.4;4.8;1.9;2.3
145;77.94;10.89;11.94;2848;151;96408.98;47.414463;8.502055;502.4;7.11;1.9;2.3
146;77.94;10.89;11.94;2965;151;96412.02;47.414429;8.50206;502.4;4.93;1.9;2.3
147;77.94;10.88;11.93;2625;146;96415.35;47.414375;8.502053;502.4;5.96;1.9;2.3
148;78.08;10.86;11.91;2598;140;96417.25;47.41433;8.502027;502.4;5.8;1.9;2.1
149;78.28;10.84;11.89;2689;151;96419.73;47.414291;8.502021;502.4;4.41;1.9;2
150;78.38;10.84;11.87;2201;140;96428.33;47.414249;8.502038;498.4;4.41;1.9;2
151;78.59;10.81;11.85;2296;129;96426.06;47.414181;8.502049;498.4;5.39;1.9;2.1
152;78.79;10.79;11.85;1761;135;96432.66;47.414143;8.50202;498.4;4.85;1.9;2.1
