PM10 Luftdaten;PM2.5 Luftdaten;PM10 Sense;PM2.5 Sense
2.67;2.47;1.6;1.7
2.67;2.47;1.5;1.5
2.67;2.47;1.4;1.4
2.67;2.47;1.6;1.7
2.67;2.47;1.7;1.8
2.67;2.47;1.6;1.7
2.67;2.47;1.5;1.6
2.67;2.47;1.6;1.7
2.67;2.47;1.6;1.7
2.67;2.47;1.6;1.7
2.67;2.47;1.6;1.7
2.67;2.47;1.6;1.7
2.67;2.47;1.6;1.7
2.67;2.47;1.5;1.6
2.67;2.47;1.5;2
2.67;2.47;1.6;2.1
2.67;2.47;1.5;2.1
2.67;2.47;1.5;2
2.67;2.47;1.6;2
2.67;2.47;1.6;2
2.67;2.47;1.6;1.8
2.67;2.47;1.5;1.8
2.67;2.47;1.6;1.7
2.67;2.47;1.4;1.4
2.67;2.47;1.4;1.4
2.67;2.47;1.4;1.4
2.67;2.47;1.5;1.6
2.67;2.47;1.4;1.5
2.53;2.3;1.4;1.5
2.53;2.3;1.5;1.6
2.53;2.3;1.5;1.6
2.53;2.3;1.5;1.6
2.53;2.3;1.6;1.7
2.53;2.3;1.6;1.7
2.53;2.3;1.6;1.7
2.53;2.3;1.5;1.6
2.53;2.3;1.6;2.2
2.53;2.3;1.6;3
2.53;2.3;1.5;3
2.53;2.3;1.5;3.3
2.53;2.3;1.5;3.3
2.53;2.3;1.5;3.2
2.53;2.3;1.5;3
2.53;2.3;1.5;3
2.53;2.3;1.5;2.9
2.53;2.3;1.4;2.7
2.53;2.3;1.5;2.2
2.53;2.3;1.5;1.6
2.53;2.3;1.6;1.7
2.53;2.3;1.4;1.4
2.53;2.3;1.5;1.6
2.53;2.3;1.6;1.7
2.53;2.3;1.8;1.9
2.53;2.3;1.8;2
2.53;2.3;1.9;2.5
2.53;2.3;1.9;2.3
3.23;2.5;1.8;2.5
3.23;2.5;1.8;2.5
3.23;2.5;1.9;2.7
3.23;2.5;1.8;2.5
3.23;2.5;1.8;2.4
3.23;2.5;1.6;2.6
3.23;2.5;1.6;2.3
3.23;2.5;1.5;2.3
3.23;2.5;1.5;1.8
3.23;2.5;1.5;1.6
3.23;2.5;1.5;2.1
3.23;2.5;1.5;1.9
3.23;2.5;1.5;1.8
